Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker
2024-01-25,715.67,724.45,726.87,707.94,98.94M,-1.44%,98940000.0,-1.44,HDBK
2024-01-29,725.52,722.23,729.58,721.11,65.65M,1.38%,65650000.00000001,1.38,HDBK
2024-01-30,720.36,725.47,729.78,718.66,41.73M,-0.71%,41730000.0,-0.71,HDBK
2024-01-31,729.46,717.96,735.64,716.62,65.76M,1.26%,65760000.00000001,1.26,HDBK
2024-02-01,731.36,730.71,734.97,726.22,32.69M,0.26%,32689999.999999996,0.26,HDBK
2024-02-02,721.28,735.67,738.59,719.24,44.87M,-1.38%,44870000.0,-1.38,HDBK
2024-02-05,720.63,721.21,724.15,715.25,38.61M,-0.09%,38610000.0,-0.09,HDBK
2024-02-06,720.26,720.98,723.05,714.52,41.08M,-0.05%,41080000.0,-0.05,HDBK
2024-02-07,713.2,724.7,725.1,711.55,54.84M,-0.98%,54840000.0,-0.98,HDBK
2024-02-08,699.78,713.15,717.69,698.51,69.11M,-1.88%,69110000.0,-1.88,HDBK
2024-02-09,700.06,694.35,705.34,691.78,56.64M,0.04%,56640000.0,0.04,HDBK
2024-02-12,693.28,698.09,705.07,689.96,34.45M,-0.97%,34450000.0,-0.97,HDBK
2024-02-13,695.49,694.25,700.43,690.46,57.58M,0.32%,57580000.0,0.32,HDBK
2024-02-14,690.31,686.29,694.02,680.08,91.32M,-0.75%,91320000.0,-0.75,HDBK
2024-02-15,705.27,690.78,705.99,690.46,41.58M,2.17%,41580000.0,2.17,HDBK
2024-02-16,708.19,710.18,712.08,702.48,32.18M,0.41%,32180000.0,0.41,HDBK
2024-02-19,706.79,712.73,712.73,705.84,34.45M,-0.20%,34450000.0,-0.2,HDBK
2024-02-20,725.35,705.74,726.82,704.15,56.13M,2.63%,56130000.0,2.63,HDBK
2024-02-21,717.79,730.18,730.18,715.72,45.89M,-1.04%,45890000.0,-1.04,HDBK
2024-02-22,708.01,707.12,712.63,704.35,50.56M,-1.36%,50560000.0,-1.36,HDBK
2024-02-23,708.54,709.51,715.17,707.24,29.83M,0.07%,29830000.0,0.07,HDBK
2024-02-26,709.38,705.02,715.64,705.02,23.51M,0.12%,23510000.0,0.12,HDBK
2024-02-27,708.31,705.02,711.58,704.77,32.09M,-0.15%,32090000.000000004,-0.15,HDBK
2024-02-28,702.95,708.31,710.33,700.26,25.32M,-0.76%,25320000.0,-0.76,HDBK
2024-02-29,699.96,699.31,703.45,696.92,53.30M,-0.43%,53300000.0,-0.43,HDBK
2024-03-01,713.6,698.26,714.6,698.26,34.74M,1.95%,34740000.0,1.95,HDBK
2024-03-02,713.6,715.49,716.22,712.28,1.79M,0.00%,1790000.0,0.0,HDBK
2024-03-04,714.57,713.7,716.72,710.38,35.62M,0.14%,35620000.0,0.14,HDBK
2024-03-05,718.64,709.24,719.71,709.06,37.99M,0.57%,37990000.0,0.57,HDBK
2024-03-06,719.51,715.0,724.62,715.0,42.41M,0.12%,42410000.0,0.12,HDBK
2024-03-07,721.26,720.96,723.72,718.91,49.35M,0.24%,49350000.0,0.24,HDBK
2024-03-11,712.13,713.23,721.18,709.73,50.53M,-1.27%,50530000.0,-1.27,HDBK
2024-03-12,727.96,715.22,730.18,712.85,65.42M,2.22%,65420000.0,2.22,HDBK
2024-03-13,728.39,730.93,733.97,723.25,63.07M,0.06%,63070000.0,0.06,HDBK
2024-03-14,725.92,729.24,731.18,720.36,52.43M,-0.34%,52430000.0,-0.34,HDBK
2024-03-15,724.52,723.2,727.84,719.34,143.61M,-0.19%,143610000.0,-0.19,HDBK
2024-03-18,721.23,721.7,726.19,716.12,21.44M,-0.45%,21440000.0,-0.45,HDBK
2024-03-19,722.88,715.97,724.4,715.97,36.18M,0.23%,36180000.0,0.23,HDBK
2024-03-20,713.75,722.73,724.02,710.56,43.61M,-1.26%,43610000.0,-1.26,HDBK
2024-03-21,721.08,719.51,723.82,717.37,28.92M,1.03%,28920000.0,1.03,HDBK
2024-03-22,719.63,718.71,723.57,717.09,45.98M,-0.20%,45980000.0,-0.2,HDBK
2024-03-26,710.93,711.83,717.19,709.31,56.84M,-1.21%,56840000.0,-1.21,HDBK
2024-03-27,718.56,710.01,722.18,708.86,62.17M,1.07%,62170000.0,1.07,HDBK
2024-03-28,722.15,718.56,728.44,718.56,55.59M,0.50%,55590000.0,0.5,HDBK
2024-04-01,733.43,727.19,735.07,725.99,25.20M,1.56%,25200000.0,1.56,HDBK
2024-04-02,738.24,730.76,745.57,729.81,41.23M,0.66%,41230000.0,0.66,HDBK
2024-04-03,739.31,734.22,745.97,733.87,45.58M,0.15%,45580000.0,0.15,HDBK
2024-04-04,761.9,750.13,763.1,750.13,88.94M,3.06%,88940000.0,3.06,HDBK
2024-04-05,772.85,767.59,775.32,763.18,59.06M,1.44%,59060000.0,1.44,HDBK
2024-04-08,771.38,775.55,776.69,768.86,20.48M,-0.19%,20480000.0,-0.19,HDBK
2024-04-09,772.35,775.5,775.5,768.24,21.88M,0.13%,21880000.0,0.13,HDBK
