Date,Price,Open,High,Low,Vol.,Change %,Volume,Change_pct,Ticker,SMA5,SMA10,SMA20,EMA5,EMA10,EMA20,Signal,Crossover
2021-09-01,787.59,785.55,797.02,785.3,12.42M,-0.15%,12420000.0,-0.15,HDBK,781.2560000000001,773.107,761.175,782.1685404269006,774.6924811445895,763.4744704237341,1,0.0
2021-09-02,792.53,785.1,794.02,783.68,9.62M,0.63%,9620000.0,0.63,HDBK,784.6679999999999,776.898,764.26,785.6223602846004,777.9356663910277,766.2416637167119,1,0.0
2021-09-03,786.07,791.08,797.02,782.2,10.74M,-0.81%,10740000.0,-0.81,HDBK,787.422,779.955,766.5345,785.771573523067,779.4146361381136,768.1300766960727,1,0.0
2021-09-06,780.91,788.01,788.51,779.04,7.88M,-0.66%,7880000.0,-0.66,HDBK,787.168,782.005,768.3565,784.151049015378,779.6865204766383,769.3472122488276,1,0.0
2021-09-07,782.68,779.31,789.04,775.67,7.25M,0.23%,7250000.0,0.23,HDBK,785.9559999999999,782.524,769.9865,783.6606993435854,780.2307894808857,770.6170015584631,1,0.0
2021-09-08,786.24,784.02,788.29,780.86,6.72M,0.46%,6720000.0,0.46,HDBK,785.6859999999999,783.471,771.701,784.5204662290571,781.3233732116338,772.1049061719428,1,0.0
2021-09-09,782.35,785.05,787.76,778.56,8.25M,-0.49%,8250000.0,-0.49,HDBK,783.65,784.159,773.5375,783.7969774860381,781.5100326277003,773.0806293936625,1,0.0
2021-09-13,775.84,779.06,790.03,774.9,8.96M,-0.83%,8960000.0,-0.83,HDBK,781.604,784.5129999999999,774.8875,781.1446516573588,780.4791176044821,773.3434265942661,1,0.0
2021-09-14,772.35,778.06,780.31,771.38,9.76M,-0.45%,9760000.0,-0.45,HDBK,779.892,783.53,775.4445000000001,778.213101104906,779.0010962218489,773.2488145376693,0,-1.0
2021-09-15,771.48,765.6,775.47,765.6,14.82M,-0.11%,14820000.0,-0.11,HDBK,777.6519999999999,781.804,775.8485000000001,775.9687340699373,777.6336241815127,773.0803560102722,0,0.0
2021-09-16,778.04,766.97,780.21,766.24,10.26M,0.85%,10260000.0,0.85,HDBK,776.012,780.849,776.978,776.659156046625,777.7075106939649,773.552703056913,0,0.0
2021-09-17,789.11,782.55,792.53,777.67,20.50M,1.42%,20500000.0,1.42,HDBK,777.364,780.507,778.7025,780.8094373644167,779.7806905677894,775.034350384826,1,1.0
2021-09-20,777.99,780.06,788.89,777.07,8.78M,-1.41%,8780000.0,-1.41,HDBK,777.7940000000001,779.699,779.827,779.8696249096113,779.455110464555,775.3158408243664,1,0.0
2021-09-21,774.05,779.06,782.38,762.58,14.77M,-0.51%,14770000.0,-0.51,HDBK,778.134,779.013,780.509,777.9297499397409,778.4723631073631,775.1952845553792,0,-1.0
2021-09-22,764.95,772.58,773.15,763.1,10.58M,-1.18%,10580000.0,-1.18,HDBK,776.8280000000001,777.24,779.882,773.603166626494,776.013751633297,774.2195431691526,0,0.0
2021-09-23,783.05,769.09,784.05,769.09,13.66M,2.37%,13660000.0,2.37,HDBK,777.83,776.921,780.1959999999999,776.7521110843294,777.293069518152,775.0605390578048,0,0.0
2021-09-24,798.79,787.54,801.98,785.55,20.81M,2.01%,20810000.0,2.01,HDBK,779.766,778.5649999999999,781.362,784.0980740562196,781.2016023330334,777.3204877189663,1,1.0
2021-09-27,810.53,805.84,815.72,802.0,16.42M,1.47%,16420000.000000002,1.47,HDBK,786.274,782.0339999999999,783.2735,792.9087160374797,786.5340382724818,780.4832984123982,1,0.0
2021-09-28,805.52,813.97,813.97,789.04,12.77M,-0.62%,12770000.0,-0.62,HDBK,792.568,785.351,784.4404999999999,797.1124773583199,789.9860313138487,782.867746182646,1,0.0
2021-09-29,794.95,796.52,801.31,790.61,16.26M,-1.31%,16260000.000000002,-1.31,HDBK,798.568,787.698,784.751,796.3916515722134,790.8885710749671,784.018437022394,1,0.0
2021-09-30,795.5,791.03,801.18,789.59,15.98M,0.07%,15980000.0,0.07,HDBK,801.058,789.444,785.1465000000001,796.0944343814756,791.7270126977003,785.1119192107374,1,0.0
2021-10-01,789.39,789.54,792.53,780.68,11.13M,-0.77%,11130000.0,-0.77,HDBK,799.178,789.472,784.9894999999999,793.8596229209838,791.3021012981184,785.5193554763814,1,0.0
2021-10-04,790.91,792.53,798.69,789.83,7.05M,0.19%,7050000.0,0.19,HDBK,795.2539999999999,790.764,785.2315,792.8764152806559,791.2308101530059,786.0327501929165,1,0.0
